Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
TYGERVALLEY CHATZ,CHATZ,ALBERTON REPAIRS,cv5010,Tygervalley Centre,Shop L1 128A,Cnr Billbezuidenhout & Willie Van Schoor,Tygervalley,WC,
UMLAZI MEGACITY TELKOM MIG,TELKOM,MIGARDA,cv392,Mega City Mall,Shop 150A,50 Griffiths Mxenge Highway,Umlazi,KZN,
WALMER PARK SCOIN,N/A,GOLD COIN.,Cv5003,Walmer park,Shop 116,Main road,Walmer,EC,
WATERFALL MALL 4U,VODACOM,072 Shop,cv127,Waterfall Mall,Shop 59,1 Augrabies Avenue,"Cashan,Rustenburg",NW,0299
WHITERIVER CROSSING TELKOM TSS,TELKOM,TSS,cv5495,White river Crossing,Shop 7,R40 and R537,White River,MP,
WITBANK EMALAHLENI DUNNS STH,DUNNS.,STH,cv5558,,Shop 2,Corner Beatty & Delville Street,"Emalahleni,Witbank",MP,
LAGUNA MALL MTN URB SELLULAR,MTN,URB,cv5574,Laguna Mall,Shop 40a,Mykonos Drive,Langebaan,WC,7357
CALVINIA MTN URB,MTN,URB,cv5589,,23,Church Street,Calvinia,NC,8190
CAVENDISH VODA CC,VODACOM,CELLUCITY,cv5062,Cavendish Square,L31A,Dreyer street,Clermont,WC,7708
EPHONDWENI DUNNS STH,DUNNS.,STH,cv5694,,D1,Manguzi Road,Ephondweni,KZN,3996
VYFHOEK SHOPPING CENTER VODACOM CHATZ HIC,VODACOM,HIC,cv377,VYFHOEK SHOPPING CENTER,Shop 18,"THABO MBEKI ROAD, VAN DER HOFFPARK",Potchefstroom,NW,1844
BUTTERWORTH JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5580,Mayekiso Building,Shop 2,Corner Umtata and King Street,Butterworth,EC,4960
MQANDULI JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5502,Shoprite Centre,Shop 10,Mqanduli Main Street,Mqanduli,EC,5080
QUEENSTOWN DUNNS STH,DUNNS.,STH,cv5577,Hexagon Square,5,Cathcart Road,Queenstown,EC,5320
WORLDSOUND PRETORIA CBD,VODACOM,SIMS,cv5582,Standard Bank Centre,Shop 31,Corner Church and Lillian Ngoyi Street,Pretoria,GAU,0002
MIDLANDS MALL MR PRICE,MR PRICE,MRP GROUP,pv014,Midlands Mall,Shop 82,50 Sanctuary Road,"Woodlands, Pietermaritzburg",KZN,3201
TEMBISA PLAZA DUNNS STH,DUNNS.,STH,cv5542,Tembisa Plaza,Shop 08,Andrew Mapheto,Tembisa,GAU,1613
CIRCUS TRIANGLE MALL JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5578,CIRCUS TRIANGLE MALL,Shop 211,Paul st John road,Mthattha,EC,5099
PICK N PAY CENTRE WESTONARIA MTN CELLZONE,MTN,CELLZONE.,cv5515,Pick n Pay centre,Shop 7,"cnr MC Cregora Firbes,",Westonaria,GAU,1779
PAROW MTN MOW,MTN,MOW,cv575,Parrow Mall,Shop 78,Corner Voortrekker Delarty Road,Parrow,WC,
FLAGSTAFF EDCON JET,JET.,EDCON,N/A,Flagstaff,Shop no 07,Main street,Flagstaff,EC,
SPRINGBOK MTN URB,MTN,URB,cv5572,Frans van Tonder Building,Shop 47,Voortrekker Street,Springbok,WC,8240
UMTATA DUNNS STH,DUNNS.,STH,cv5534,,,27 York Road,Umtata,EC,
MIDWATER 4U HIC,4U,HIC,CV203,Midwater Centre,Shop 44,Keiskamma Street,Middelburg,MP,
KALAHARI MALL UPINGTON MTN URB,MTN,URB,cv5596,Kalahari Mall,Shop 19/19A,19 Van Riebeeck Street,Upington,EC,8801
DIAMOND PAVILION MTN URB MALL NC,MTN,URB,cv5583,Diamond Pavilion mall,12,"Cnr Oliver &, Mac Dougall St",Kimberley,NC,8300
KATHU VILLAGE MALL MTN URB,MTN,URB,cv5592,Kathu Village Mall,Shop 4,Cnr Hendrick van eck str,Kathu,NC,8446
V&A WATERFRONT VODACOM CELLUCITY,VODACOM,CELLUCITY,cv5564,"V&A Waterfront Mall, Entrance2",Shop 7107,1 Breakwater Boulevard,"Waterfront, Cape Town",WC,
PIKETBERG URB MTN,MTN,URB,cv5573,"Shoprite Centre,",Shop 7,81 Long St,Piketberg,WC,7320
DOBSONVILLE TELKOM TSS,TELKOM,TSS,cv5691,Dobsonville Mall,Shop 106A,75 Elias Motsoaledi Road,"Mmesi Park,Soweto",GAU,1863
EIKESTAD MALL MTN URB,MTN,URB,cv5591,Eikestad Mall,43,Andringa St,Stellenbosch Central,WC,7600
POSTMASBURG MTN URB,MTN,URB,cv5585,Sibilo Shopping Centre,C02B,Camp Street,Postmasburg,EC,8420
SCHRODER STREET UPINGTON MTN URB,MTN,URB,CV5575,,SHOP 34,SCHRODER STREET,NORTHERN CAPE,NC,
MASKAN MALL VREDENDAL MTN URB,MTN,URB,cv5590,Maskan Mall,Shop 46 A,Kerk Road,Vredendal,WC,8160
SEAPOINT VODA CELLUCITY,VODACOM,CELLUCITY,cv5543,The Point,Shop 2A,76 Regent Road,Sea Point,WC,
GARDEN ROUTE MALL GEORGE ISTORE,iStores,CORE,cv512,Garden Route Mall,Shop 3,Knysna Road,George,WC,
CENTURION MALL PEP VODACOM Core,4U,ALISOM,cv25698345,Valut Group,Shop 11,Commerce Crescent,Kramerville,GAU,
RUSTENBURG EDGARS EDCON,EDGARS,EDCON,cv754,N/A,Shop 95,Fatima Bhayat Street,Rustenburg,NW,
THE BRIDGE DUNNS STH,DUNNS.,STH,cv5265,The Bridge,Shop 38,Corner King George & Wanderers,Johannesburg,GAU,2000
PARKLANE NETCARE HOSPITAL WARD 7 T1,N/A,NETCARE,pv016,Parklane Netcare Clinic,Ward 7,"cnr Junction Ave &, Park Lane",Parktown,GAU,2193
CARLETONVILLE CBD JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5311,Carletonville Mall,Shop 13,23 Flint and Halike Street,Carletonville,GAU,2499
QUMBU DUNNS STH,DUNNS.,STH,cv5254,Qumbu Shopping Centre,Shop 10,Main Street,Qumbu,EC,5180
FORT BEAUFORT DUNNS STH,DUNNS.,STH,cv5099,,,44 Campbell Street,Fort Beaufort,EC,5720
LADYBRAND DUNNS STH,DUNNS.,STH,cv5527,,,21A Piet Retief Street,Landybrand,MP,9740
EVANDER DUNNS STH,DUNNS.,STH,cv5535,,No 3,Ghent Road,Evander,MP,2280
IDUTYWA JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5266,Protea centre,Shop 1,Richardson Road,Idutywa,EC,5000
NDOFAYA MALL TELKOM TSS,TELKOM,TSS,cv5510,Ndofaya Mall,Shop 10 C,Hekroodt Circle and Marsh Street,"Meadowlands ,Soweto",GAU,
SAVANNAH MALL TELKOM TSS,TELKOM,TSS,cv5293,Savanna mall,Kiosk,Crn grim and Thabo mbeki st,Polokwane,LP,
PRESIDENT SQUARE MOGALE CITY MTN CNW,MTN,CELL NETWORK,cv504,"President Square Shopping Centre,",Shop 21,Cnr Market and Pretorious Street,Krugersdorp,GAU,
BROOKLYN TELKOM BTR,TELKOM,BLUETECH (BTR),cv687,Brooklyn Mall,Shop 29,Fehrsen street,Pretoria,GAU,
THE GROVE VODA CELLUCITY,VODACOM,CELLUCITY,cv5384,The Grove Shopping Centre,Shop L50,Lynnwood Road,"Equestria, Pretoria",GAU,
ERMELO MTN CELLZONE,MTN,CELLZONE.,cv5600,Spur Centre,Shop 6,56 Kerk Street,Ermelo,MP,2351
LADY FRERE DUNNS,DUNNS.,STH,cv5114,Lady frere Retail Development,Shop no 2,Main road,Lady frere,EC,
