Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
HIGHVELD MALL SPORTSMAN WAREHOUSE MORESPORT,SPORTSMAN WAREHOUSE,MORESPORT,cv543,Highveld Mall,V1,"N4 and, Mandela St","Emalahleni, Witbank",MP,1035
PLATINUM SQUARE SPORTSMAN WAREHOUSE,SPORTSMAN WAREHOUSE,MORESPORT,cv737,Platinum Square,Shop 40,Cnr Howick ave & Platinum Boulevard,Rustenburg,NW,
THORNHILL SHOPPING CENTRE SPORTSMAN WAREHOUSE MORESPORT,SPORTSMAN WAREHOUSE,MORESPORT,cv544,Thornhill shopping center,Shop 61,Veldspaat & Munnik Avenue,Polokwane,LP,
PHOLA MALL KWAMHLANGA TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv5640,Phola mall,,Moloto Road,Kwa Mhlanga,MP,
BALLITO LIFESTYLE CENTRE SPORTSMAN WAREHOUSE MORESPORT,SPORTSMAN WAREHOUSE,MORESPORT,cv5107,Ballito Lifestyle Centre,Shop 80R,Main Road,Durban,KZN,
GATEWAY TOTALSPORTS TFG,TOTALSPORTS,TFG,pv033,Gateway Theatre of Shopping Mall,G279,1 Palm Boulevard,Umhlanga Rocks,KZN,4001
WEST STREET TOTALSPORTS TFG,TOTALSPORTS,TFG,PV085,West Street Durban,,447 Dr Pixley Kaseme Street,Durban Central,KZN,4000
KENILWORTH CENTRE CELL C,CELL C,CELL C,cv253,Kenilworth Centre,Shop G10,Don Caster Road,"Claremont, , Cape Town",WC,7780
MIDLANDS MALL ISTORE CORE,iStores,CORE,cv5634,Liberty Midlands Mall,,"50 Sanctuary Rd, 50 Sanctuary Rd 3201","Woodlands, Pietermaritzburg,",KZN,3201
WAVERLY PLAZA CHATZ NT,CHATZ,NEL TECHNOLOGIES,cv5645,Waverley Plaza,Shop 0076Z,1120 Hertzog Street,"Villeria, Pretoria",GAU,
TYGERVALLEY TOTALSPORTS TFG,TOTALSPORTS,TFG,pv034,Tygervalley Shopping Centre,Shop 542,Willie Van Schoor Drive,"Bellville, , Cape Town",WC,7530
VREDENBURG MTN URB,MTN,URB,cv161,Pick n Pay Centre,Shop 8A,Plein Street,"Vredenburg, CBD",WC,
EASTGATE SAMSUNG ADJOA,SAMSUNG.,SAMSUNG,cv5651,Eastgate Shopping Centre,Shop U69,Bradford Road,"Eastrand, Germiston",GAU,
RUSTERNBURG MALL TFG JET,JET.,THE FOSCHINI GROUP (TFG),cv5204,Rustenburg Mall,Shop 81,"Swartruggens Road, R104","Rustenburg,",NW,0300
HEIDELBERG MALL VODACOM AFZAL,VODACOM,AFZAL,cv353,Heidelberg Mall,Shop 56,Jacobs Street,"Military Base, Heidelberg",GAU,1441
TABLEBAY MTN URB,MTN,URB,cv5050 with plus 1,Tablebay Mall,Store G360,cnr Berkshire Boulevard & Sunning Dale Road,Bloubegstand,WC,
RUSTENBURG SMITH STREET DUNNS,DUNNS.,STH,cv5533,,Shop 3,Corner Smith & Lady Street,Rustenburg,NW,0299
CARLETONVILLE KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5643,Pick n Pay Centre,,Corner Radium street & Osmium street,Carletonville,GAU,
TWIN CITY MALL KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5642,"Twin City Mall,",Erven 16601 & 16602,Heidedal Ext 24,Bloemfontein,FS,
RUSTENBURG MALL MR PRICE,MR PRICE,MRP GROUP,pv036,Rustenburg Mall,Shop 90,Corner Swartruggens and Hedeira Road,"Rustenburg,",NW,
QUEENS QUARTER CD CHATZ,CHATZ,CLASSIC DESIGNS,cv5647,Queenswood Quarter,Shop A15,1184-1186 Whittle Avenue,"Queenswood, Pretoria",GAU,
THULAMAHASHE MALL TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5641,Thulamahashe Mall,,"Corner Main & Skukuza Road, Erf 1137","Thulamahashe-B, Bushbuckridge",MP,1365
RUSTENBURG MALL VODACOM HIC,VODACOM,HIC,cv371,Rustenburg Mall,Shop 107,Nelson Mandela Drive(Swartruggens Road),Rustenburg,NW,
CANAL WALK MR PRICE,MR PRICE,MRP GROUP,pv042,Canal Walk Shopping Centre,Shop 30,Century boulevard,Milnerton,WC,
MALL OF AFRICA MR PRICE,MR PRICE,MRP GROUP,pv040,Mall of Africa,1141-2135,Allandale Rd,"Waterval City, Midrand",GAU,1686
EAST RAND MALL MR PRICE,MR PRICE,MRP GROUP,pv039,EAST RAND MALL,Shop 152B,Bental Avenue,"Jansen Park, Boksburg North",GAU,1459
ROSEBANK MALL ISTORE CORE,iStores,CORE,cv5654,Rosebank Mall,313,50 Bath Ave,Rosebank,GAU,2196
MENLYN MALL MR PRICE,MR PRICE,MRP GROUP,pv037,Menlyn Shopping Centre,Shop G36/37,Atterbury Road,Menlyn,GAU,
WESTGATE CENTRE MR PRICE,MR PRICE,MRP GROUP,pv038,Westgate Centre,Shop 002,Ontdekkers Road,Roodepoort,GAU,
RUSTENBURG MALL MTN WRS,MTN,WRS,cv5043,Rustenburg Mall,Shop 09,Nelson Mandela Drive,Rustenburg,NW,
TSHWANE MALL MR PRICE,MR PRICE,MRP GROUP,pv044,Tshwane Regional Mall,Shop GF20,Corner Tsamaya and Watloo,Mamelodi West,GAU,0122
DAINFERN SQUARE MTN TM,MTN,TASHAKO MOBILE,cv5662,Dainfern Square,Shop 27A,Broadachers Drive,Fourways,GAU,
MALL OF TEMBISA MTN TM,MTN,TASHAKO MOBILE,cv5023,Mall of Tembisa,Shop LG41,Olifantsfontein Road,Tembisa,GAU,1632
CHUMA MALL MTN TM,MTN,TASHAKO MOBILE,cv5652,Chuma Mall,,1st Ave,Diepsloot West 7,GAU,2189
GARANKUWA CITY MALL TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5644,GARANKUWA CITY MALL,,Mangope Rd,"Ga-Rankuwa Unit 4, Ga-Rankuwa",GAU,0208
THE GLEN MR PRICE,MR PRICE,MRP GROUP,pv043,The Glen Shopping Centre,Shop L44,Letaba Street,Oakdene,GAU,
SAMMY MARKS SQUARE MR PRICE,MR PRICE,MRP GROUP,pv041,Sammy Marks Square,Shop 324,Cnr Lillian Ngoyi & Madiba street,"Pretoria,cbd",GAU,
MALL OF THE NORTH MTN CTM,MTN,CONNECTA MOBILE,cv5653,Mall Of The North,Shop L47,Corner R81 and N1,Polokwane,LP,
KWAGGAFONTEIN TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5655,(Betweem Shoprite & PnP),,R537 Moloto Rd,Kwaggafontein-C,MP,0458
WESTVILLE MTN CID,MTN,COOL IDEAS,CV5659,WESTVILLE MALL,32,"35 Buckingham Terrace,","Dawncliffe, Westville",KZN,3629
MALL @ MFULA TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5656,Mfula Mall,Truworth court,Corner R543 and N2,Piet Retief,MP,2380
OLIEVENHOUT PLAZA TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5007,Olievenhoutbosch Plaza,,Portion 61 of the Farm Olievenhoutbosch 389,"Olievenhoutbosch, Midrand,",GAU,
DIEPKLOOF SQUARE TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5725,Diepkloof Square,Opposite KFC,Corner Immink Drive and Jack klipin Road,Soweto,GAU,1864
ELDORADO TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5658,Shoprite Centre,,9 Sircle Road,Soweto,GAU,2001
EDENVALE MAFADI PROPERTIES,N/A,MAFADI PROPERTY,YS012,Duneden Building,,46 Van Riebeeck Avenue,Edenvale,GAU,1609.
MIDDLEBURG MALL SPORTSMAN WAREHOUSE,SPORTSMAN WAREHOUSE,MORESPORT,cv5650,Middelburg Mall,Shop 15A,Cnr Dr Mandela Drive & Samora Machel Street,Middelburg,MP,
JUBILEE MALL MR PRICE,MR PRICE,MRP GROUP,PV048,Jubilee Mall,Shop 31,"Harry Gwala Road,","Pretoria Suburbs, Hammanskraal",GAU,0407
BRIXTON MAFADI PROPERTIES,N/A,MAFADI PROPERTY,YS013,,,147 High Street,Brixton,GAU,
SOUTHDOWNS CHATZ ACR,CHATZ,ALL CELL REPAIR,cv245,Southdowns Shopping Centre,33A,cnr John Vorster and Karee Street,Centurion,GAU,0122
ADDERLY STREET MR PRICE,MR PRICE,MRP GROUP,PV051,St Georges Mall,Shop 106,Adderley Street,Cape Town,WC,
MALL OF THE NORTH MR PRICE,MR PRICE,MRP GROUP,PV,Mall of the North,Shop U62,Tweefontein Rd & Munnik Ave,Polokwane,LP,1209
UMPHAKATHI MALL TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5294,Umphakathi Mall,,"Main Reef Road & R559, Middelvlei 255-Iq",Randfontein,GAU,1759
MEGA CITY TELKOM KIOSK MFG,TELKOM,MAFOKO GLOBAL,cv5660,Mega City,,"Mmabatho Unit 1,",Mmabatho,NW,
PRESIDENT HYPER FOCHVILLE TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv596,PRESIDENT HYPER FOCHVILLE,,"Corner Kerk Street and, Losberg Ave,",Fochville,GAU,2515
PRESIDENT HYPER VAAL TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv5679,PRESIDENT HYPER VAAL,,cnr Playfair Boulevard and Ascot on Vaal,"Vaal, Vereeniging",GAU,1911
RANDFONTEIN VILLAGE SQUARE TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),Cv5681,Village Square Shopping Centre,Kiosk,"Corner Main Reef Road & 8th Avenue,",Randfontein,GAU,1760
HAMMERSDALE JUNCTION TELKOM MIG,TELKOM,MIGARDA,cv5688,HAMMERSDALE JUNCTION,Shop 5 IA,Kunene Rd,DURBAN,KZN,3700
SOMERSET SQUARE TELKOM MIG,TELKOM,MIGARDA,cv5675,Somerset Square,Shop 16A,"Corner Main & Gordon Street,",Somerset West,WC,7130
FESTIVAL MALL MR PRICE,MR PRICE,MRP GROUP,PV052,Festival Mall,Shop 76,Corner C.R. Swart Drive and Kelvin St,kempton park,GAU,1620
GOLDEN WALK MR PRICE,MR PRICE,MRP GROUP,PV052,Goldenwalk Shopping Cen,Shop 1,61 Victoria st,Germiston,GAU,1404
CONSTANTIA VILLAGE VODACOM HIC,VODACOM,HIC,cv5362,Constantia Village,"Shop 8A, Entrance 1",Constantia Main Road,Constantia,WC,
CAPEGATE VODACOM 4U HIC,VODACOM,HIC,cv660,Cape Gate Shopping Centre,"Shop S77, Entrance 1",Okavango Boulevard,"Brakenfell, Cape Town",WC,7562
KIOSK MAOKENG PLAZA TELKOM BTR,TELKOM,BLUETECH (BTR),cv5661,Maokeng Plaza,,Corner of Smaldeel Road and Hennie Ludick Street,"Maokeng,Kroodstad",FS,9499
KWADUKUZA MALL MTN ARLAN COMM,MTN,ARLAN COMM,cv5677,Kwadukuza Mall,Shop 52,2 Elizabeth Street,Stanger,KZN,4449
IXOPO DUNNS STH,DUNNS.,STH,cv5678,Ixopo Mall,shop 12,Main Street,Ixopo,EC,
GEZINA GALLARIES TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5685,,,"Nico Smit Street or Frederika Street,","Gezina, Pretoria",GAU,
JET BT NGEBS MTHATHA TFG,JET.,TFG,cv5698,BT Ngebs City,Shop 37,"Errol Sprigg Avenue, Vulindela Heights",Mthatha,EC,5099
RUSTENBURG MALL TELKOM MFG KIOSK,TELKOM,MAFOKO GLOBAL,cv5686,Rustenburg Mall,next to Capitec by the Shoprite entrance,Swartruggens Road and R104,Rustenburg.,NW,
FOURWAYS MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV056,Fourways Mall,Shop G35,"Witkoppen Rd. &, William Nicol Dr","Fourways, Johannesburg",GAU,2021
SAMMY MARKS TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV064,SAMMY MARKS,SHOP 216,Van Der Walt Street,PRETORIA,GAU,
GREENSTONE MALL MR PRICE,MR PRICE,MRP GROUP,PV053,Greenstone Shopping Centre,Shop U80,Van Riebeek,Edenvale,GAU,
HEMMINGWAYS MR PRICE,MR PRICE,MRP GROUP,pv049,Hemmingways Mall,Shop G36,2 Riverview Road,East London,WC,5201
CLEARWATER TOTALSPORTS TFG,TOTALSPORTS,TFG,PV063,Clearwater Shopping Centre,Shop Lm 114,Hendrik Potgieter Road,Auckland Park,GAU,1724
INGWE SHOPPING CENTRE TELKOM 3BH KIOSK,TELKOM,THREE BATAUNG HOLDINGS,Cv5728,Ingwe Shopping Complex,Shop 8A,Lomati Street,Malelane Mpumalanga,MP,1320
ELUKWATINI TELKOM 3BH,TELKOM,THREE BATAUNG HOLDINGS,cv5752,Elukwatini Shopping Complex,Shop 01A,1/154 Honningiklip Road,Elukwatini,MP,1192
GREENACRES TOTALSPORTS TFG,TOTALSPORTS,TFG,pv078,"Greenacres Mall, , 6045",Shop 51,Old Cape Road,"Greenacres, Gqeberha",EC,
BUITENSINGEL WeFIX,WeFIX,WeFIX,cv5584,,,11 Buitensingel Street,"Gardens, Cape Town",WC,8001
THE HEADS MALL TELKOM 3BH KIOSK,TELKOM,THREE BATAUNG HOLDINGS,Cv5727,The Heads Shopping Centre,Shop 9,Main road to Sabie (R37) and Bushwillow Street,Lydenburg,MP,1120
CARLTON CENTRE TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv059,Carlton Centre,Shop 250,Cnr Commissioner & Kruis Str,",Johannesburg",GAU,2001
VAAL MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV062,Vaal Mall,Shop 27,"Cnr Barrage Rd &, Rossini Blvd",Vanderbijlpark S. W. 2,GAU,1911
CENTURION MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv065,Centurion Mall,Shop 280/281,"Heuwel Rd,","Centurion Central,",GAU,0157
PROMENADE MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv076,Promenade Mall,Shop 61,Az Berman Drive,"Mitchells Plain, Cape Town",WC,7785
N1 CITY MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv079,N1 City Mall,Shop 94,Louwtjie Rothman St,"Goodwood, Cape Town",WC,7441
THE PAVILLION TOTALSPORTS,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV082,The Pavilion,Shop 209,Jack Martens Dr,"Westville, Durban,",KZN,3631
WALMER PARK TOTALSPORTS,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv077,Walmer Park,Shop 81,Main Rd,Gqeberha,EC,6070
MIMOSA MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv074,Mimosa Mall,Shop L43,Cnr Zastron & Parfitt Rds,"Brandwag, Bloemfontein,",FS,9301
ILANGA MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv071,Ilanga Mall,UG48,Silver Oak Street,"West Acres, Mbombela",MP,1200
WATERFALL MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv068,Waterfall Mall,Shop 92,1 Augrabies Ave,"Cashan, Rustenburg,",NW,0299
MENLYN MALL TOTALSPORTS TFG,TOTALSPORTS,TFG,PV086,Menlyn Park,Shop G32 & G33,Atterbury Rd & Lois Avenue,Pretoria,GAU,0727
SANDTON CITY TOTALSPORTS TFG,TOTALSPORTS,TFG,PV057,"Sandton City Shopping Centre,",Shop L16,Cnr Rivonia Rd & 5Th Street,Sandton,GAU,2146
HAZYVIEW TOTALSPORTS TFG,TOTALSPORTS,TFG,pv072,The Blue Haze Shopping Centre,Shop U8,Skukuza Road,Hazyview,MP,1242
GOLDFIELDS MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV073,Goldfields Mall,Shop 66,Statway Boulevard & Butten Street,Welkom,FS,9460
EASTRAND MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV060,Eastrand Mall,Shop 50,Corner Rietfontein & Bentral Road,Boksburg,GAU,
BLUE ROUTE MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv080,Blue Route Mall,Shop 54A,Tokai Road,Tokai,WC,7945
AMANZIMTOTI GALLERIA TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV084,"The Galleria,",Shop G11,Openheimer Road and Umbogintwini,Amanzimtoti,KZN,
WINDERMERE TELKOM MIG,TELKOM,MIGARDA,cv5690,Windermere Shopping Centre,Shop 25,163 Lillian Ngoyi Road,"Morning side, Durban",KZN,
FIVEWAYS MALL TELKOM MIG,TELKOM,MIGARDA,CV5701,Fiveways Mall,15,Cnr Paul Avenue & Baines Road,Empangeni,KZN,3880
MTUBATUBA MALL TELKOM MIG,TELKOM,MIGARDA,CV5687,Mtubatuba Mall,Shop 32,"Cnr p237 & Nyathi Road 9,",Mtubatuba,KZN,3935
ROLYATS MALL TELKOM MIG,TELKOM,MIGARDA,CV5037,Rolyats Mall,Shop 110,86 Main Street,Kokstad,KZN,4700
MALVERN PARK TELKOM MIG,TELKOM,MIGARDA,CV5692,Malvern Park Centre,,155 Old Main Road,"Queensburgh,",KZN,
LAGUNA MALL TELKOM MIG,TELKOM,MIGARDA,cv5689,Laguna Mall,Shop 36,Mykoners drive,Langebaan,WC,7357
BLAAUW VILLAGE KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5715,BLAAUW VILLAGE SHOPPING COMPLEX,,"Gerrit Maritz Rd,","Pretoria North, Pretoria,",GAU,0182
MQANDULI DUNNS STH,DUNNS.,STH,cv5278,,Shop No 17,ERF 17 Mqanduli Main Street,Mqanduli,EC,5080
SAMMY MARKS SQUARE TELKOM TSS,TELKOM,TSS,CV5774,Sammy Marks Square,Shop 14,330 Helen Josep Street,Pretoria Cbd,GAU,0002
PROTEA GLEN KIOSK TELKOM TSS,TELKOM,TSS,cv5646,Protea Glen,Shop 82,"R558 &,Protea Boulevard","Protea Glen, Soweto",GAU,1819
STANDERTON JUNXION TELKOM KIOSK 3BH,TELKOM,THREE BATAUNG HOLDINGS,cv5730,"Standerton Junxion,",Shop 9,"Cnr Bauman &, Dr Beyers Naude,","Standerton,",MP,2430
TOWER MALL TEKOM KIOSK MFG,TELKOM,MAFOKO GLOBAL,cv6003,Tower Mall,Shop No 25,Cnr Jabulani Street and N12,"Jouberton, Klerksdorp,",NW,2574
CANAL WALK WeFix,WeFIX,CORE,cv5712,Canal Walk Shopping Centre,Shop 82,"Century Blvd,","Century City, Cape Town,",WC,7441
SOMERSET MALL TOTALSPORTS TFG,TOTALSPORTS,TFG,pv055,Somerset Mall,Shop 61,Cnr N2 & R304,Somerset West,WC,
RICHARDS BAY TOTALSPORTS TFG,TOTALSPORTS,TFG,PV083,Boardwalk @ Inkwazi Mall,Shop U45,Krugerrand Road,Richards Bay,KZN,3900
SOUTHDALE TELKOM MOT,TELKOM,MOTIVITY,cv5772,Southdale Shopping Center,,36 Alamein Road,Johannesburg,GAU,2000
ORMONDE TELKOM MOT,TELKOM,MOTIVITY,cv5720,Ormonde Shopping Centre,,5 Rente Street,Johannesburg South,GAU,2000
SKY CITY TELKOM KIOSK MOT,TELKOM,MOTIVITY,cv5719,Sky City Mall,,"cnr R550 & K91,","Vereeniging,",GAU,
MAHIKENG MALL TELKOM KIOSK MFG,TELKOM,MAFOKO GLOBAL,cv5735,Mahikeng Mall,Kiosk - next to Skipper Bar,Carney Street & Carrington Street,"Golf View, Mahikeng",NW,2745
BAMBANANI MALL TELKOM TSS,TELKOM,TSS,cv5756,"Bambambani Mall ,",Shop 53,Corner R114 Apole Street,Diepsloot,GAU,
LOWVELD TELKOM TSS,TELKOM,TSS,Cv5623,Lowveld Mall,Shop 13,cnr R40 & R536,Hazyview,MP,1242
PRELLER SQUARE TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5737,Preller Square,,Graaff Reinet Streer,"Dan Pienaar, Bloemfontein",FS,9301
MENLYN MALL WeFIX,WeFIX,WeFIX,Cv5731,Menlyn Mall,"Shop LF31A,",Atterbury Rd & Lois Ave,"Menlyn, Pretoria",GAU,0181
STIMELA MALL TELKOM 3BH,TELKOM,THREE BATAUNG HOLDINGS,cv5726,Stimela Centre,,"General St,",Barberton,MP,1300
STATION SQUARE TELKOM BTR,TELKOM,BLUETECH (BTR),cv5742,Station Square,,"cnr Bosman street and, Jeff Masemola St","Pretoria Central, Pretoria",GAU,2009
BEREA CENTRE TELKOM BRAVO SAT,TELKOM,BRAVO SAT,CV5705,Berea Centre,Shop 22,249 King Dinuzulu Road,Durban,KZN,
MIDWAY CROSSING TELKOM BRV,TELKOM,BRAVO SAT,CV5718,Midway Crossing Shopping Centre,Shop US58,5 Ntuzuma Main Road,Durban,KZN,
KALAHARI MALL TELKOM MIG,TELKOM,MIGARDA,Cv5744,Kalahari Mall,Shop 37,25 Van Riebeeck Street,Upington,NC,8801
PRESIDENT HYPER- KRUGERSDORP TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5734,President Hyper,,Corner Market & Pretoria Street,Krugersdorp,GAU,1740
MAMS MALL MTN WRS,MTN,WRS,cv5169,Mams Mall,Shop 64,Tsamaya Avenue,"Mahube Valley, Mamelodi",GAU,0147
MT EDGECOMBE PLAZA TELKOM MIG,TELKOM,MIGARDA,cv5741,Mount Edgecombe Plaza,Shop 10G026,102 Hillhead Drive,DURBAN,KZN,400
THE WORKSHOP TELKOM MIG,TELKOM,MIGARDA,CV5740,DURBAN WORKSHOP CENTER,SHOP 10B,99 SAMORA MACHEL STREET,DURBAN,KZN,4001
KWAMNYANDU SHOPPING CENTER TELKOM MIG,TELKOM,MIGARDA,CV5739,KWAMYANDA SHOPPING CENTER.UMLAZI D,SHOP 209,341 GRIFFITHS MXENGE HIGHWAY,DUR,KZN,4031
BHAI PLAZA TELKOM MIG,TELKOM,MIGARDA,CV5738,UMZINTO BHAI PLAZA,SHOP A2A,334 NELSON MANDELA RD,UMZINTO,KZN,4200
BRAKENFELL TELKOM MIG,TELKOM,MIGARDA,Cv5676,PICK N PAY HYPER BRAKENFELL CENTER,SHOP 10B,CNR JEANETTE STREET & OLD PAARL ROAD,CAPE TOWN,WC,7560
GOLDENWALK TOTALSPORTS TFG,TOTALSPORTS,TFG,PV058,GOLDEN WALK CENTER,SHOP 71,141 VICTORIA STR,JOHANNESBURG,GAU,1400
POLOKWANE REGIONAL OFFICE VODACOM ALM,VODACOM,ALISOM,cv5233,Farmyard Building,,1 School Road,Polokwane,LP,0001
KRAMMERVILLE OFFICE,N/A,VAULTGROUP,N/A,Valut Group,,11 Commerce Crescent,Krammerville,GAU,2090
KRAMMERVILLE FACTORY,N/A,VAULTGROUP,N/A,Valut Group,,11 Commerce Crescent,Krammerville,GAU,2090
THE GLEN TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV061,The Glen Shopping Centre,Shop M46,Comaro Road,Oakdene,GAU,2190
POSTMASBURG DUNNS STH,DUNNS.,STH,cv5702,,,CORNER SPRINGBOK & HOOG STREET,POSTMASBURG,NC,8420
BENONI LAKE TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv066,Lakeside Mall,Shop U65,Tom Jones Street,"Benoni, Johannesburg,",GAU,1501
MOOIRIVER MALL POTCHEFSTROOM TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv067,Mooi River Mall,Shop 87,Potgieter Street,Potchefstroom,NW,2531
MALL OF THE NORTH TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),pv069,Mall Of The North,Shop U93,R81 & N1,"Bendor Ext14, Polokwane",LP,
TUBATSE CROSSING TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV070,Tubatse Crossing,Shop L42,R37/R555,Burgersfort,LP,1150
SANDTON CITY VODACOM TRRC,VODACOM,THE REAL REPAIR COMPANY,cv5748,Sandton City Shopping Centre,Shop BC02B Banking Court,cnr Rivonia & 5th Street,Sandton,GAU,
MALL OF AFRICA ATTACQ,N/A,ATTACQ,pop002,Mall of Africa,Town Square Entrance,Cnr Lone Creek & Magwa Crescent,"Waterval City, Midrand",GAU,1685
PHOKENG MALL TELKOM KIOSK MFG,TELKOM,MAFOKO GLOBAL,cv5733,Phokeng Mall,Kiosk,R656 Sun City Road,Phokeng,NW,
MORULENG TELKOM KIOSK MFG,TELKOM,MAFOKO GLOBAL,cv5736,Moruleng Mall,,Main Hospitall Road,Moruleng,NW,0387
THLABANE TELKOM KIOSK MFG,TELKOM,MAFOKO GLOBAL,cv5721,Tlhabane Square Shopping Centre,,Monareng Street,"Tlhabane, Rustenburg",NW,
EASTRAND MALL iSTORE CORE,iStores,CORE,cv5755,Eastrand Mall,Shop 39 & 40,Bentel Avenue,Boksburg,GAU,1457
MALL OF AFRICA SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),pv075,Mall Of Africa,Shop 1107,Magwa Crescent,"Waterfall, Midrand,",GAU,1686
EASTGATE MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV081,Eastgate Centre,"Shop U27,Upper Level",Bradford Road,Bedfordview,GAU,2007
CORKWOOD SQUARE UITENHAGE TELKOM MOT,TELKOM,MOTIVITY,cv5758,Corkwood Square,Shop 71,"42 Union Avenue, van Riebeeck Hoogte",Uitenhage,EC,
320 WEST STREET SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6024,,,320 West Street,Durban,KZN,
CARLTON CENTRE SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6013,Carlton Centre,Shop 252-258,Commissioner and Kruis Street,Bertsham,GAU,
GOLDENWALK SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6017,Golden Walk Centre,Shop 63,141 Victoria Street,Germiston,GAU,1401
EVATON MTN RTM,MTN,REMANT MOBILE,cv5761,Evaton Mall,Shop 212,Easton Road and Golden Highway,Evaton West,GAU,1984
THE HEADS MALL VODACOM KADSON,VODACOM,KADSON,cv5762,The heads shopping Centre,Shop 26,Main road to Sabie (R37) and Bushwillow Street,Lydenburg,MP,
PHUTHADITJHABA SETSING SPORTSCENE TFG,SPORTSCENE,TFG,cv6030,Maluti Crescent mall,SHOP 121A,Str Phuthaditjhaba Witsieshoek,Phuthaditjhaba,FS,9870
FESTIVAL MALL SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6015,Festival Mall,Shop 40,"Corner Kelvin Road &, CR Swart Dr, Esther Park",Kempton Park,GAU,1619
SMALL STREET SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),Cv6020,Small Street,Shop 17,Commissioner Street,Johannesburg,GAU,2001
GATEWAY SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6025,Gateway Shopping Center,Shop G96B,Umhlanga Drive Newtown Gateway Centre,Durban,KZN,4000
PAROW CENTER SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),Cv6021,Parow Centre,Shop 76 & 77,"Corner Voortrekker Road &, De La Rey St, Parow East",CAPE TOWN,WC,7500
LOCH LOGAN SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6033,Loch Logan Waterfront,Shop 20,Cnr Henry Street & 1st avenue,Westdene,FS,9320
ELOFF STREET SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),CV6018,,Shop 73,Cnr Eloff & Pritchard street,Johannesburg,GAU,2001
